[INFO] Input: 1060x737 @ 30.30 fps, 345 frames
[INFO] Target: 1920x1334 @ 30.30 fps
[INFO] Config: points=8000, z_layers=3, pixel_sort_strips=15, datamosh_rects=3
[INFO] Loading rembg u2net session (CPU)...
[INFO] rembg session ready.
[1/345] 0.3%  frame_time=1.33s  ETA=464s
[2/345] 0.6%  frame_time=1.13s  ETA=425s
[3/345] 0.9%  frame_time=1.01s  ETA=398s
[4/345] 1.2%  frame_time=1.20s  ETA=400s
[5/345] 1.4%  frame_time=1.14s  ETA=397s
[6/345] 1.7%  frame_time=1.14s  ETA=394s
[7/345] 2.0%  frame_time=1.06s  ETA=388s
[8/345] 2.3%  frame_time=1.13s  ETA=386s
[9/345] 2.6%  frame_time=1.09s  ETA=383s
[10/345] 2.9%  frame_time=1.04s  ETA=378s
[11/345] 3.2%  frame_time=1.08s  ETA=376s
[12/345] 3.5%  frame_time=1.09s  ETA=374s
[13/345] 3.8%  frame_time=1.23s  ETA=375s
[14/345] 4.1%  frame_time=1.05s  ETA=372s
[15/345] 4.3%  frame_time=1.05s  ETA=370s
[16/345] 4.6%  frame_time=1.00s  ETA=366s
[17/345] 4.9%  frame_time=0.97s  ETA=362s
[18/345] 5.2%  frame_time=0.98s  ETA=359s
[19/345] 5.5%  frame_time=0.97s  ETA=355s
[20/345] 5.8%  frame_time=0.98s  ETA=353s
[21/345] 6.1%  frame_time=0.99s  ETA=350s
[22/345] 6.4%  frame_time=1.04s  ETA=348s
[23/345] 6.7%  frame_time=1.01s  ETA=346s
[24/345] 7.0%  frame_time=0.98s  ETA=344s
[25/345] 7.2%  frame_time=0.94s  ETA=341s
[26/345] 7.5%  frame_time=0.94s  ETA=339s
[27/345] 7.8%  frame_time=1.03s  ETA=337s
[28/345] 8.1%  frame_time=1.01s  ETA=336s
[29/345] 8.4%  frame_time=0.91s  ETA=333s
[30/345] 8.7%  frame_time=1.10s  ETA=332s
[31/345] 9.0%  frame_time=1.06s  ETA=331s
[32/345] 9.3%  frame_time=1.04s  ETA=330s
[33/345] 9.6%  frame_time=0.86s  ETA=327s
[34/345] 9.9%  frame_time=0.88s  ETA=325s
[35/345] 10.1%  frame_time=1.10s  ETA=324s
[36/345] 10.4%  frame_time=1.10s  ETA=324s
[37/345] 10.7%  frame_time=1.15s  ETA=323s
[38/345] 11.0%  frame_time=1.09s  ETA=323s
[39/345] 11.3%  frame_time=1.11s  ETA=322s
[40/345] 11.6%  frame_time=1.11s  ETA=322s
[41/345] 11.9%  frame_time=1.12s  ETA=321s
[42/345] 12.2%  frame_time=1.10s  ETA=320s
[43/345] 12.5%  frame_time=0.89s  ETA=318s
[44/345] 12.8%  frame_time=1.01s  ETA=317s
[45/345] 13.0%  frame_time=0.99s  ETA=315s
[46/345] 13.3%  frame_time=0.99s  ETA=314s
[47/345] 13.6%  frame_time=1.01s  ETA=312s
[48/345] 13.9%  frame_time=1.02s  ETA=311s
[49/345] 14.2%  frame_time=0.94s  ETA=310s
[50/345] 14.5%  frame_time=1.03s  ETA=308s
[51/345] 14.8%  frame_time=1.06s  ETA=307s
[52/345] 15.1%  frame_time=1.00s  ETA=306s
[53/345] 15.4%  frame_time=1.03s  ETA=305s
[54/345] 15.7%  frame_time=1.03s  ETA=304s
[55/345] 15.9%  frame_time=1.04s  ETA=303s
[56/345] 16.2%  frame_time=1.04s  ETA=302s
[57/345] 16.5%  frame_time=1.07s  ETA=301s
[58/345] 16.8%  frame_time=1.12s  ETA=300s
[59/345] 17.1%  frame_time=1.10s  ETA=300s
[60/345] 17.4%  frame_time=1.10s  ETA=299s
[61/345] 17.7%  frame_time=1.10s  ETA=298s
[62/345] 18.0%  frame_time=1.05s  ETA=297s
[63/345] 18.3%  frame_time=1.09s  ETA=296s
[64/345] 18.6%  frame_time=1.07s  ETA=295s
[65/345] 18.8%  frame_time=1.09s  ETA=294s
[66/345] 19.1%  frame_time=1.07s  ETA=293s
[67/345] 19.4%  frame_time=1.04s  ETA=292s
[68/345] 19.7%  frame_time=1.09s  ETA=291s
[69/345] 20.0%  frame_time=0.99s  ETA=290s
[70/345] 20.3%  frame_time=1.08s  ETA=289s
[71/345] 20.6%  frame_time=1.03s  ETA=288s
[72/345] 20.9%  frame_time=1.12s  ETA=287s
[73/345] 21.2%  frame_time=1.14s  ETA=286s
[74/345] 21.4%  frame_time=1.16s  ETA=286s
[75/345] 21.7%  frame_time=1.16s  ETA=285s
[76/345] 22.0%  frame_time=1.16s  ETA=284s
[77/345] 22.3%  frame_time=1.17s  ETA=284s
[78/345] 22.6%  frame_time=1.10s  ETA=283s
[79/345] 22.9%  frame_time=1.04s  ETA=282s
[80/345] 23.2%  frame_time=1.16s  ETA=281s
[81/345] 23.5%  frame_time=1.15s  ETA=280s
[82/345] 23.8%  frame_time=1.17s  ETA=280s
[83/345] 24.1%  frame_time=1.16s  ETA=279s
[84/345] 24.3%  frame_time=1.16s  ETA=278s
[85/345] 24.6%  frame_time=1.23s  ETA=277s
[86/345] 24.9%  frame_time=1.14s  ETA=277s
[87/345] 25.2%  frame_time=1.34s  ETA=276s
[88/345] 25.5%  frame_time=1.27s  ETA=276s
[89/345] 25.8%  frame_time=1.26s  ETA=275s
[90/345] 26.1%  frame_time=1.27s  ETA=275s
[91/345] 26.4%  frame_time=1.32s  ETA=274s
[92/345] 26.7%  frame_time=1.30s  ETA=274s
[93/345] 27.0%  frame_time=1.02s  ETA=273s
[94/345] 27.2%  frame_time=1.07s  ETA=272s
[95/345] 27.5%  frame_time=1.01s  ETA=270s
[96/345] 27.8%  frame_time=0.98s  ETA=269s
[97/345] 28.1%  frame_time=0.92s  ETA=267s
[98/345] 28.4%  frame_time=0.92s  ETA=266s
[99/345] 28.7%  frame_time=0.96s  ETA=265s
[100/345] 29.0%  frame_time=0.88s  ETA=263s
[101/345] 29.3%  frame_time=1.04s  ETA=262s
[102/345] 29.6%  frame_time=0.93s  ETA=261s
[103/345] 29.9%  frame_time=1.02s  ETA=259s
[104/345] 30.1%  frame_time=1.05s  ETA=258s
[105/345] 30.4%  frame_time=1.07s  ETA=257s
[106/345] 30.7%  frame_time=1.08s  ETA=256s
[107/345] 31.0%  frame_time=0.95s  ETA=255s
[108/345] 31.3%  frame_time=1.15s  ETA=254s
[109/345] 31.6%  frame_time=1.20s  ETA=253s
[110/345] 31.9%  frame_time=1.13s  ETA=252s
[111/345] 32.2%  frame_time=0.96s  ETA=251s
[112/345] 32.5%  frame_time=0.95s  ETA=249s
[113/345] 32.8%  frame_time=0.89s  ETA=248s
[114/345] 33.0%  frame_time=0.95s  ETA=247s
[115/345] 33.3%  frame_time=1.24s  ETA=246s
[116/345] 33.6%  frame_time=1.19s  ETA=245s
[117/345] 33.9%  frame_time=1.02s  ETA=244s
[118/345] 34.2%  frame_time=0.91s  ETA=243s
[119/345] 34.5%  frame_time=1.15s  ETA=242s
[120/345] 34.8%  frame_time=1.12s  ETA=241s
[121/345] 35.1%  frame_time=1.09s  ETA=240s
[122/345] 35.4%  frame_time=1.24s  ETA=239s
[123/345] 35.7%  frame_time=1.17s  ETA=238s
[124/345] 35.9%  frame_time=1.18s  ETA=237s
[125/345] 36.2%  frame_time=1.18s  ETA=236s
[126/345] 36.5%  frame_time=1.24s  ETA=236s
[127/345] 36.8%  frame_time=1.19s  ETA=235s
[128/345] 37.1%  frame_time=1.14s  ETA=234s
[129/345] 37.4%  frame_time=1.15s  ETA=233s
[130/345] 37.7%  frame_time=1.15s  ETA=232s
[131/345] 38.0%  frame_time=1.12s  ETA=231s
[132/345] 38.3%  frame_time=1.13s  ETA=230s
[133/345] 38.6%  frame_time=1.13s  ETA=229s
[134/345] 38.8%  frame_time=1.14s  ETA=228s
[135/345] 39.1%  frame_time=1.12s  ETA=227s
[136/345] 39.4%  frame_time=1.03s  ETA=226s
[137/345] 39.7%  frame_time=1.13s  ETA=225s
[138/345] 40.0%  frame_time=1.12s  ETA=224s
[139/345] 40.3%  frame_time=1.13s  ETA=223s
[140/345] 40.6%  frame_time=1.07s  ETA=222s
[141/345] 40.9%  frame_time=1.12s  ETA=220s
[142/345] 41.2%  frame_time=1.11s  ETA=219s
[143/345] 41.4%  frame_time=1.13s  ETA=218s
[144/345] 41.7%  frame_time=1.11s  ETA=217s
[145/345] 42.0%  frame_time=1.16s  ETA=216s
[146/345] 42.3%  frame_time=1.13s  ETA=215s
[147/345] 42.6%  frame_time=1.17s  ETA=214s
[148/345] 42.9%  frame_time=1.14s  ETA=213s
[149/345] 43.2%  frame_time=1.14s  ETA=212s
[150/345] 43.5%  frame_time=1.14s  ETA=211s
[151/345] 43.8%  frame_time=1.16s  ETA=210s
[152/345] 44.1%  frame_time=1.07s  ETA=209s
[153/345] 44.3%  frame_time=1.03s  ETA=208s
[154/345] 44.6%  frame_time=1.12s  ETA=207s
[155/345] 44.9%  frame_time=1.11s  ETA=206s
[156/345] 45.2%  frame_time=1.11s  ETA=205s
[157/345] 45.5%  frame_time=1.07s  ETA=204s
[158/345] 45.8%  frame_time=1.13s  ETA=203s
[159/345] 46.1%  frame_time=1.13s  ETA=202s
[160/345] 46.4%  frame_time=1.11s  ETA=201s
[161/345] 46.7%  frame_time=1.14s  ETA=200s
[162/345] 47.0%  frame_time=1.01s  ETA=199s
[163/345] 47.2%  frame_time=1.08s  ETA=198s
[164/345] 47.5%  frame_time=1.10s  ETA=196s
[165/345] 47.8%  frame_time=1.12s  ETA=195s
[166/345] 48.1%  frame_time=1.15s  ETA=194s
[167/345] 48.4%  frame_time=1.19s  ETA=193s
[168/345] 48.7%  frame_time=1.17s  ETA=192s
[169/345] 49.0%  frame_time=1.16s  ETA=191s
[170/345] 49.3%  frame_time=1.16s  ETA=190s
[171/345] 49.6%  frame_time=1.08s  ETA=189s
[172/345] 49.9%  frame_time=1.03s  ETA=188s
[173/345] 50.1%  frame_time=1.20s  ETA=187s
[174/345] 50.4%  frame_time=1.06s  ETA=186s
[175/345] 50.7%  frame_time=1.08s  ETA=185s
[176/345] 51.0%  frame_time=1.14s  ETA=184s
[177/345] 51.3%  frame_time=1.20s  ETA=183s
[178/345] 51.6%  frame_time=1.12s  ETA=182s
[179/345] 51.9%  frame_time=1.07s  ETA=181s
[180/345] 52.2%  frame_time=0.95s  ETA=180s
[181/345] 52.5%  frame_time=1.04s  ETA=178s
[182/345] 52.8%  frame_time=1.04s  ETA=177s
[183/345] 53.0%  frame_time=1.04s  ETA=176s
[184/345] 53.3%  frame_time=1.04s  ETA=175s
[185/345] 53.6%  frame_time=1.03s  ETA=174s
[186/345] 53.9%  frame_time=1.05s  ETA=173s
[187/345] 54.2%  frame_time=1.07s  ETA=172s
[188/345] 54.5%  frame_time=0.95s  ETA=171s
[189/345] 54.8%  frame_time=0.99s  ETA=169s
[190/345] 55.1%  frame_time=0.98s  ETA=168s
[191/345] 55.4%  frame_time=1.08s  ETA=167s
[192/345] 55.7%  frame_time=1.07s  ETA=166s
[193/345] 55.9%  frame_time=1.08s  ETA=165s
[194/345] 56.2%  frame_time=1.17s  ETA=164s
[195/345] 56.5%  frame_time=1.16s  ETA=163s
[196/345] 56.8%  frame_time=1.18s  ETA=162s
[197/345] 57.1%  frame_time=1.18s  ETA=161s
[198/345] 57.4%  frame_time=1.11s  ETA=160s
[199/345] 57.7%  frame_time=1.13s  ETA=159s
[200/345] 58.0%  frame_time=1.09s  ETA=158s
[201/345] 58.3%  frame_time=1.12s  ETA=157s
[202/345] 58.6%  frame_time=1.13s  ETA=155s
[203/345] 58.8%  frame_time=1.10s  ETA=154s
[204/345] 59.1%  frame_time=1.11s  ETA=153s
[205/345] 59.4%  frame_time=1.11s  ETA=152s
[206/345] 59.7%  frame_time=1.11s  ETA=151s
[207/345] 60.0%  frame_time=1.12s  ETA=150s
[208/345] 60.3%  frame_time=1.13s  ETA=149s
[209/345] 60.6%  frame_time=1.12s  ETA=148s
[210/345] 60.9%  frame_time=1.11s  ETA=147s
[211/345] 61.2%  frame_time=1.14s  ETA=146s
[212/345] 61.4%  frame_time=1.13s  ETA=145s
[213/345] 61.7%  frame_time=1.11s  ETA=144s
[214/345] 62.0%  frame_time=1.01s  ETA=143s
[215/345] 62.3%  frame_time=1.10s  ETA=142s
[216/345] 62.6%  frame_time=1.10s  ETA=140s
[217/345] 62.9%  frame_time=1.11s  ETA=139s
[218/345] 63.2%  frame_time=1.09s  ETA=138s
[219/345] 63.5%  frame_time=1.09s  ETA=137s
[220/345] 63.8%  frame_time=1.12s  ETA=136s
[221/345] 64.1%  frame_time=1.12s  ETA=135s
[222/345] 64.3%  frame_time=1.12s  ETA=134s
[223/345] 64.6%  frame_time=1.13s  ETA=133s
[224/345] 64.9%  frame_time=1.13s  ETA=132s
[225/345] 65.2%  frame_time=1.11s  ETA=131s
[226/345] 65.5%  frame_time=1.07s  ETA=130s
[227/345] 65.8%  frame_time=1.11s  ETA=129s
[228/345] 66.1%  frame_time=1.06s  ETA=127s
[229/345] 66.4%  frame_time=1.06s  ETA=126s
[230/345] 66.7%  frame_time=1.03s  ETA=125s
[231/345] 67.0%  frame_time=1.13s  ETA=124s
[232/345] 67.2%  frame_time=1.05s  ETA=123s
[233/345] 67.5%  frame_time=1.03s  ETA=122s
[234/345] 67.8%  frame_time=1.11s  ETA=121s
[235/345] 68.1%  frame_time=1.11s  ETA=120s
[236/345] 68.4%  frame_time=1.00s  ETA=119s
[237/345] 68.7%  frame_time=1.10s  ETA=118s
[238/345] 69.0%  frame_time=1.10s  ETA=117s
